county,population
"Scott,IL",4790
"Shelby,IL",20761
"Stark,IL",5345
"Stephenson,IL",43627
"Tazewell,IL",129911
"Union,IL",16767
"Vermilion,IL",72337
"Wabash,IL",11087
"Warren,IL",16354
"Washington,IL",13643
"Wayne,IL",15872
"White,IL",13614
"Whiteside,IL",54658
"Will,IL",696757
"Williamson,IL",66695
"Winnebago,IL",282188
"Woodford,IL",38128
"Adams,IN",36068
"Allen,IN",391449
"Bartholomew,IN",83540
"Benton,IN",8719
"Blackford,IN",11919
"Boone,IN",74164
"Brown,IN",15570
"Carroll,IN",20555
"Cass,IN",37540
"Clark,IN",124237
"Clay,IN",26379
"Clinton,IN",32843
"Crawford,IN",10536
"Daviess,IN",33418
"Dearborn,IN",51138
"Decatur,IN",26416
"DeKalb,IN",43731
"Delaware,IN",112031
"Dubois,IN",43632
"Elkhart,IN",206890
"Fayette,IN",23349
"Floyd,IN",80714
"Fountain,IN",16574
"Franklin,IN",23028
"Fulton,IN",20327
"Gibson,IN",32993
"Grant,IN",66022
"Greene,IN",31006
"Hamilton,IN",364921
"Hancock,IN",83070
"Harrison,IN",39851
"Hendricks,IN",182534
"Henry,IN",48915
"Howard,IN",83574
"Huntington,IN",36834
"Jackson,IN",46300
"Jasper,IN",33281
"Jay,IN",20198
"Jefferson,IN",32946
"Jennings,IN",27536
"Johnson,IN",165782
"Knox,IN",35789
"Kosciusko,IN",80826
"LaGrange,IN",40866
"Lake,IN",499689
"LaPorte,IN",111675
"Lawrence,IN",45222
"Madison,IN",131744
"Marion,IN",969466
"Marshall,IN",46332
"Martin,IN",9803
"Miami,IN",35674
"Monroe,IN",139745
"Montgomery,IN",38273
"Morgan,IN",72236
"Newton,IN",13823
"Noble,IN",47367
"Ohio,IN",6114
"Orange,IN",19623
"Owen,IN",21482
"Parke,IN",16369
"Perry,IN",19183
"Pike,IN",12168
"Porter,IN",174791
"Posey,IN",25063
"Pulaski,IN",12485
"Putnam,IN",37301
"Randolph,IN",24437
"Ripley,IN",29087
"Rush,IN",16673
"St Joseph,IN",272234
"Scott,IN",24588
"Shelby,IN",44991
"Spencer,IN",19967
"Starke,IN",23258
"Steuben,IN",34725
"Sullivan,IN",20670
"Switzerland,IN",10006
"Tippecanoe,IN",188717
"Tipton,IN",15361
"Union,IN",6952
"Vanderburgh,IN",179744
"Vermillion,IN",15451
"Vigo,IN",106006
"Wabash,IN",30828
"Warren,IN",8461
"Warrick,IN",65185
"Washington,IN",28224
"Wayne,IN",66273
"Wells,IN",28335
"White,IN",24598
"Whitley,IN",34627
"Adair,IA",7494
"Adams,IA",3611
"Allamakee,IA",13960
"Appanoose,IA",12094
"Audubon,IA",5598
"Benton,IA",25711
"Black Hawk,IA",130274
"Boone,IA",26609
"Bremer,IA",25259
"Buchanan,IA",20714
"Buena Vista,IA",20600
"Butler,IA",14269
"Calhoun,IA",9725
